TransactionID,Date,BranchID,ServiceID,Quantity,Revenue,CustomerType
T00040,2015-11-08,F001,S011,3,84.0,Member
T00041,2015-12-30,F002,S022,1,4.5,Member
T00042,2015-12-10,F001,S024,2,12.0,Member
T00043,2015-10-25,F002,S018,1,129.0,Non-Member
T00044,2015-12-14,F002,S015,1,45.0,Trial
T00045,2015-11-05,F001,S004,2,50.0,Non-Member
T00046,2015-10-09,F001,S021,2,17.0,Non-Member
T00047,2015-11-13,F001,S013,1,35.0,Non-Member
T00048,2015-10-23,F001,S014,3,225.0,Member
T00049,2015-12-10,F002,S012,2,56.0,Member
T00050,2015-10-19,F001,S007,2,70.0,Non-Member
T00051,2015-12-04,F002,S007,3,105.0,Member
T00052,2015-10-01,F002,S012,2,56.0,
T00053,2015-11-11,F001,S016,2,160.0,Trial
T00054,2015-11-02,F002,S019,1,1299.0,Non-Member
T00055,2015-12-28,F002,S004,1,25.0,Non-Member
T00056,2015-10-11,F002,S002,1,28.0,Non-Member
T00057,2015-12-09,F001,S007,1,,Trial
T00058,2015-11-17,F002,S019,1,1299.0,Member
T00059,2015-10-29,F002,S025,3,135.0,Trial
T00060,2015-10-13,F002,S016,1,80.0,Trial
T00061,2015-12-29,F001,S007,1,35.0,Trial
T00062,2015-11-22,F002,S002,3,84.0,Trial
T00063,2015-10-10,F001,S009,3,72.0,Trial
T00064,2015-10-01,F002,S003,2,40.0,Trial
T00065,2015-12-09,F001,S025,3,135.0,Trial
T00066,2015-10-27,F001,S015,2,90.0,Trial
T00067,2015-10-15,F002,S025,2,90.0,Trial
T00068,2015-11-29,F002,S002,1,28.0,Trial
T00069,2015-11-05,F001,S010,2,52.0,Trial
T00070,2015-12-26,F001,S003,3,60.0,Trial
T00071,2015-10-31,F001,S008,1,22.0,Non-Member
T00072,2015-11-03,F002,S024,3,18.0,Trial
T00073,2015-11-12,F002,S009,2,48.0,Member
T00074,2015-10-01,F002,S018,1,129.0,Trial
T00075,2015-12-08,F001,S019,1,1299.0,Trial
T00076,2015-12-29,F002,S024,1,6.0,Member
T00077,2015-12-09,F001,S012,2,,Member
T00078,2015-11-13,F002,S006,2,50.0,Member
T00079,2015-11-28,F002,S019,1,1299.0,Trial
T00080,2015-12-01,F002,S004,1,25.0,Member
T00081,2015-10-07,F002,S019,1,,Trial
T00082,2015-11-20,F002,S015,2,90.0,
T00083,2015-12-26,F002,S014,2,150.0,Trial
T00084,2015-10-20,F002,S005,1,30.0,Trial
T00085,2015-12-27,F001,S010,3,78.0,Trial
T00086,2015-11-04,F001,S025,1,45.0,Member
T00087,2015-12-17,F002,S022,2,9.0,Trial
T00088,2015-11-23,F001,S014,2,150.0,Non-Member
T00089,2015-12-23,F002,S003,1,20.0,Non-Member
T00090,2015-11-22,F002,S002,3,84.0,Trial
T00091,2015-11-26,F002,S015,3,135.0,Trial
T00092,2015-11-29,F001,S025,3,135.0,Non-Member
T00093,2015-12-12,F002,S005,2,60.0,Non-Member
T00094,2015-12-03,F002,S019,1,1299.0,Non-Member
T00095,2015-11-26,F001,S022,1,4.5,Member
T00096,2015-11-26,F001,S012,1,28.0,Non-Member
T00097,2015-12-10,F002,S006,1,25.0,Member
T00098,2015-11-22,F001,S010,1,26.0,Non-Member
T00099,2015-10-30,F001,S022,1,4.5,Member
T00100,2015-10-19,F001,S020,3,60.0,Non-Member
T00101,2015-11-02,F002,S013,1,35.0,Trial
T00102,2015-12-30,F001,S013,3,105.0,Trial
T00103,2015-12-30,F001,S022,1,4.5,
T00104,2015-12-18,F002,S021,1,8.5,Non-Member
T00105,2015-11-13,F002,S018,1,129.0,Trial
T00106,2015-11-11,F001,S020,2,40.0,Member
T00107,2015-10-18,F002,S008,2,44.0,Member
T00108,2015-10-05,F002,S009,2,48.0,Trial
T00109,2015-11-06,F002,S025,2,,Non-Member
T00110,2015-10-14,F001,S019,1,1299.0,Member
T00111,2015-11-02,F001,S012,2,56.0,Trial
T00112,2015-10-19,F001,S011,1,28.0,Trial
T00113,2015-11-22,F002,S005,2,60.0,Trial
T00114,2015-10-04,F002,S018,1,129.0,Trial
T00115,2015-12-10,F002,S018,1,129.0,Trial
T00116,2015-10-04,F001,S002,1,,Non-Member
T00117,2015-10-22,F001,S008,1,22.0,Trial
T00118,2015-10-05,F001,S020,3,60.0,Trial
T00119,2015-12-11,F002,S014,1,75.0,Non-Member
T00120,2015-12-09,F002,S019,1,1299.0,Trial
T00121,2015-10-21,F002,S007,3,105.0,Member
T00122,2015-11-02,F001,S010,3,78.0,
T00123,2015-11-22,F001,S019,1,1299.0,Member
T00124,2015-11-30,F002,S010,2,52.0,Member
T00125,2015-11-24,F001,S008,1,22.0,Non-Member
T00126,2015-12-09,F001,S016,1,80.0,Member
T00127,2015-11-11,F001,S023,1,24.99,
T00128,2015-12-07,F002,S010,2,52.0,Member
T00129,2015-10-20,F001,S005,3,90.0,Non-Member
T00130,2015-12-30,F001,S003,3,60.0,Trial
T00131,2015-11-16,F002,S012,2,56.0,Member
T00132,2015-11-20,F002,S017,2,180.0,Non-Member
T00133,2015-12-24,F001,S002,2,56.0,Trial
T00134,2015-11-23,F001,S015,2,90.0,Member
T00135,2015-10-13,F002,S006,2,50.0,Trial
T00136,2015-11-02,F002,S006,1,,Non-Member
T00137,2015-11-20,F001,S016,3,240.0,Trial
T00138,2015-11-07,F001,S007,1,35.0,Trial
T00139,2015-12-04,F002,S005,1,30.0,Non-Member
T00140,2015-11-20,F001,S014,1,75.0,
T00141,2015-11-03,F002,S015,3,135.0,Non-Member
T00142,2015-10-30,F001,S013,2,70.0,Member
T00143,2015-11-04,F002,S017,3,270.0,Member
T00144,2015-12-19,F002,S001,1,22.0,Trial
T00145,2015-10-06,F001,S019,1,1299.0,Trial
T00146,2015-12-03,F002,S022,1,4.5,Member
T00147,2015-12-19,F001,S012,1,28.0,Non-Member
T00148,2015-10-06,F001,S018,1,129.0,Non-Member
T00149,2015-12-10,F002,S005,1,30.0,Non-Member
T00150,2015-12-30,F001,S019,1,1299.0,Trial
T00151,2015-10-01,F002,S019,1,1299.0,Non-Member
T00152,2015-12-01,F002,S017,1,,
T00153,2015-11-13,F002,S011,1,28.0,Member
T00154,2015-11-24,F001,S020,3,,Trial
T00155,2015-10-11,F002,S020,1,20.0,Member
T00156,2015-11-29,F002,S015,2,90.0,Member
T00157,2015-11-09,F001,S010,3,78.0,Trial
T00158,2015-10-31,F002,S006,2,50.0,Non-Member
T00159,2015-11-14,F001,S017,3,270.0,Non-Member
T00160,2015-12-28,F001,S006,2,50.0,Trial
T00161,2015-11-27,F001,S025,3,135.0,Trial
T00162,2015-12-30,F002,S016,1,80.0,Trial
T00163,2015-11-08,F001,S021,2,17.0,Non-Member
T00164,2015-12-20,F002,S010,3,78.0,Trial
T00165,2015-12-06,F002,S006,3,75.0,Trial
T00166,2015-11-16,F002,S004,2,50.0,Trial
T00167,2015-12-31,F002,S008,3,66.0,Member
T00168,2015-10-21,F001,S025,1,45.0,Trial
T00169,2015-12-08,F001,S021,2,17.0,Non-Member
T00170,2015-11-07,F002,S019,1,1299.0,Trial
T00171,2015-10-07,F001,S024,1,6.0,Trial
T00172,2015-10-02,F001,S014,3,225.0,
T00173,2015-12-01,F001,S016,2,160.0,Non-Member
T00174,2015-11-06,F001,S013,2,70.0,Non-Member
T00175,2015-10-17,F002,S009,3,72.0,
T00176,2015-10-05,F001,S014,3,225.0,Non-Member
T00177,2015-10-07,F001,S023,2,49.98,Member
T00178,2015-10-13,F002,S005,2,60.0,Non-Member
T00179,2015-10-14,F001,S025,2,90.0,Non-Member
T00180,2015-10-24,F002,S010,1,26.0,Trial
T00181,2015-12-02,F002,S014,3,225.0,Member
T00182,2015-10-02,F001,S017,2,180.0,Non-Member
T00183,2015-12-18,F001,S007,2,70.0,Trial
T00184,2015-11-27,F002,S006,1,25.0,Non-Member
T00185,2015-12-22,F002,S020,2,,
T00186,2015-12-28,F002,S016,1,80.0,Trial
T00187,2015-11-01,F001,S006,1,25.0,Trial
T00188,2015-10-21,F002,S015,3,135.0,Non-Member
T00189,2015-11-21,F002,S001,1,22.0,Non-Member
T00190,2015-10-19,F001,S019,1,1299.0,Member
T00191,2015-12-30,F001,S014,2,150.0,Trial
T00192,2015-11-22,F001,S021,2,17.0,Trial
T00193,2015-10-19,F002,S017,2,180.0,Non-Member
T00194,2015-12-30,F002,S011,2,,Member
T00195,2015-12-31,F002,S006,3,75.0,Non-Member
T00196,2015-10-16,F002,S020,2,40.0,Non-Member
T00197,2015-12-30,F001,S024,2,12.0,Trial
T00198,2015-11-16,F002,S019,1,1299.0,Non-Member
T00199,2015-12-19,F001,S010,1,26.0,Trial
T00200,2015-12-15,F001,S009,2,48.0,Non-Member
T00201,2015-12-25,F001,S023,2,49.98,
T00202,2015-12-05,F002,S018,1,129.0,Non-Member
T00203,2015-11-12,F002,S007,1,35.0,Member
T00204,2015-10-29,F001,S001,2,44.0,Non-Member
T00205,2015-11-05,F002,S008,3,66.0,Non-Member
T00206,2015-10-07,F001,S008,2,44.0,Trial
T00207,2015-10-13,F001,S005,2,60.0,Trial
T00208,2015-11-02,F001,S021,3,25.5,Trial
T00209,2015-10-25,F002,S006,1,25.0,Non-Member
T00210,2015-10-30,F002,S002,2,56.0,Member
T00211,2015-11-21,F001,S005,1,,Non-Member
T00212,2015-11-11,F001,S001,2,44.0,Member
T00213,2015-11-16,F002,S011,3,84.0,Trial
T00214,2015-10-07,F002,S021,3,25.5,Member
T00215,2015-11-04,F001,S005,3,90.0,Trial
T00216,2015-11-13,F002,S010,1,26.0,Member
T00217,2015-12-15,F001,S012,2,56.0,Member
T00218,2016-03-08,F003,S008,3,66.0,Member
T00219,2016-09-05,F001,S019,1,1299.0,Member
T00220,2016-05-07,F003,S001,2,44.0,Non-Member
T00221,2016-12-18,F003,S020,2,40.0,Member
T00222,2016-11-11,F004,S004,2,50.0,Trial
T00223,2016-06-09,F003,S016,1,80.0,Trial
T00224,2016-08-09,F002,S006,3,75.0,
T00225,2016-05-22,F004,S008,1,,
T00226,2016-03-02,F004,S005,1,30.0,
T00227,2016-08-09,F002,S011,1,28.0,Member
T00228,2016-01-01,F004,S014,1,75.0,Trial
T00229,2016-01-22,F003,S005,1,30.0,Trial
T00230,2016-11-06,F004,S017,2,180.0,Trial
T00231,2016-10-31,F004,S015,1,45.0,Trial
T00232,2016-04-07,F002,S023,2,49.98,Member
T00233,2016-09-15,F001,S024,3,18.0,Member
T00234,2016-02-25,F001,S003,2,40.0,
T00235,2016-02-19,F001,S024,1,6.0,Non-Member
T00236,2016-09-05,F001,S018,1,129.0,Non-Member
T00237,2016-01-20,F003,S013,3,105.0,Member
T00238,2016-07-16,F002,S018,1,129.0,Member
T00239,2016-07-27,F004,S023,3,74.97,Trial
T00240,2016-02-15,F003,S014,3,225.0,Member
T00241,2016-06-28,F001,S022,3,13.5,Trial
T00242,2016-06-20,F004,S025,3,135.0,Non-Member
T00243,2016-07-13,F004,S006,3,75.0,Member
T00244,2016-01-07,F004,S005,3,90.0,Trial
T00245,2016-03-21,F001,S024,3,18.0,Member
T00246,2016-12-10,F003,S015,1,45.0,Non-Member
T00247,2016-08-22,F002,S012,2,56.0,Trial
T00248,2016-01-10,F004,S017,1,90.0,Member
T00249,2016-09-30,F002,S002,2,56.0,Trial
T00250,2016-09-23,F003,S004,3,75.0,Trial
T00251,2016-06-26,F003,S020,3,60.0,Non-Member
T00252,2016-07-29,F004,S003,2,40.0,Trial
T00253,2016-09-03,F003,S019,1,1299.0,Member
T00254,2016-08-10,F004,S017,3,270.0,Trial
T00255,2016-08-18,F003,S003,3,60.0,Trial
T00256,2016-09-08,F001,S003,2,40.0,Trial
T00257,2016-06-30,F004,S002,2,56.0,Trial
T00258,2016-07-24,F002,S010,1,26.0,Member
T00259,2016-09-14,F001,S021,3,25.5,
T00260,2016-04-17,F002,S001,3,66.0,Member
T00261,2016-03-09,F003,S017,2,180.0,Trial
T00262,2016-06-18,F002,S008,2,44.0,Trial
T00263,2016-09-03,F002,S001,3,66.0,Non-Member
T00264,2016-02-20,F004,S016,3,240.0,Trial
T00265,2016-02-25,F002,S014,1,75.0,Trial
T00266,2016-05-24,F004,S022,1,4.5,Member
T00267,2016-02-22,F002,S009,3,72.0,Member
T00268,2016-03-11,F003,S010,2,52.0,Trial
T00269,2016-01-13,F001,S011,2,56.0,Member
T00270,2016-09-16,F001,S022,3,13.5,Non-Member
T00271,2016-10-17,F004,S013,3,105.0,Trial
T00272,2016-05-01,F004,S005,2,,Trial
T00273,2016-02-19,F004,S007,1,35.0,Non-Member
T00274,2016-05-24,F002,S017,1,90.0,Member
T00275,2016-01-15,F001,S019,1,1299.0,Member
T00276,2016-05-29,F002,S011,1,28.0,Trial
T00277,2016-11-12,F002,S001,2,44.0,Trial
T00278,2016-02-24,F004,S019,1,,Trial
T00279,2016-06-09,F003,S014,2,150.0,Non-Member
T00280,2016-09-19,F004,S023,1,24.99,Trial
T00281,2016-02-21,F004,S006,1,25.0,Trial
T00282,2016-03-20,F004,S025,2,90.0,Trial
T00283,2016-01-29,F001,S006,1,,Non-Member
T00284,2016-01-20,F002,S008,2,44.0,Member
T00285,2016-07-09,F004,S024,2,12.0,Trial
T00286,2016-02-22,F002,S012,1,28.0,
T00287,2016-09-22,F001,S009,1,24.0,Non-Member
T00288,2016-09-16,F001,S011,1,28.0,Trial
T00289,2016-07-25,F004,S002,3,84.0,Member
T00290,2016-04-02,F002,S019,1,1299.0,Non-Member
T00291,2016-09-06,F003,S025,2,90.0,Trial
T00292,2016-11-21,F001,S019,1,1299.0,Trial
T00293,2016-04-09,F004,S003,2,40.0,Non-Member
T00294,2016-08-30,F004,S020,2,40.0,Trial
T00295,2016-06-04,F003,S005,1,30.0,Non-Member
T00296,2016-03-22,F003,S023,3,74.97,Non-Member
T00297,2016-05-08,F004,S007,3,105.0,Member
T00298,2016-05-05,F004,S008,2,44.0,Member
T00299,2016-06-02,F003,S002,1,28.0,Member
T00300,2016-02-26,F001,S023,1,24.99,Trial
T00301,2016-12-13,F004,S021,3,25.5,Member
T00302,2016-05-14,F001,S020,1,20.0,Trial
T00303,2016-01-04,F004,S003,1,20.0,Trial
T00304,2016-08-20,F001,S017,3,270.0,Member
T00305,2016-02-22,F002,S024,2,12.0,Trial
T00306,2016-12-02,F002,S010,3,78.0,Trial
T00307,2016-07-28,F002,S010,1,26.0,Member
T00308,2016-04-22,F003,S003,2,40.0,Member
T00309,2016-04-11,F001,S017,1,90.0,Member
T00310,2016-10-14,F001,S010,1,26.0,Trial
T00311,2016-02-13,F002,S006,2,,Member
T00312,2016-08-15,F001,S010,2,52.0,Trial
T00313,2016-01-20,F003,S014,1,75.0,Trial
T00314,2016-01-25,F004,S015,1,,Trial
T00315,2016-12-04,F004,S017,1,90.0,Member
T00316,2016-01-12,F002,S004,2,50.0,
T00317,2016-07-18,F003,S011,2,56.0,Non-Member
T00318,2016-03-19,F004,S011,3,84.0,Trial
T00319,2016-11-03,F003,S002,2,56.0,Trial
T00320,2016-01-14,F002,S007,2,70.0,
T00321,2016-05-12,F004,S001,3,66.0,Non-Member
T00322,2016-05-06,F001,S023,1,24.99,Trial
T00323,2016-11-10,F003,S003,1,20.0,Trial
T00324,2016-06-02,F001,S001,2,44.0,Member
T00325,2016-04-24,F002,S014,2,150.0,Trial
T00326,2016-04-29,F001,S023,3,74.97,Member
T00327,2016-06-27,F004,S013,1,35.0,
T00328,2016-12-16,F001,S003,1,20.0,Trial
T00329,2016-11-25,F003,S010,2,52.0,Member
T00330,2016-03-25,F003,S008,2,44.0,Member
T00331,2016-07-17,F003,S001,1,22.0,Trial
T00332,2016-08-13,F003,S017,2,180.0,Trial
T00333,2016-11-02,F003,S018,1,129.0,Trial
T00334,2016-11-21,F003,S017,2,180.0,
T00335,2016-08-27,F001,S021,1,,Trial
T00336,2016-02-24,F001,S002,2,56.0,Trial
T00337,2016-01-03,F001,S015,2,90.0,Non-Member
T00338,2016-11-30,F004,S011,3,84.0,Trial
T00339,2016-10-31,F002,S007,1,35.0,Trial
T00340,2016-09-27,F001,S004,1,,Trial
T00341,2016-02-24,F004,S002,1,28.0,Trial
T00342,2016-11-11,F001,S006,1,25.0,Trial
T00343,2016-05-26,F003,S003,2,40.0,Trial
T00344,2016-10-30,F004,S015,2,90.0,Non-Member
T00345,2016-04-28,F002,S022,3,13.5,Trial
T00346,2016-12-05,F004,S023,2,49.98,
T00347,2016-03-23,F002,S019,1,1299.0,Member
T00348,2016-09-02,F001,S007,3,105.0,Non-Member
T00349,2016-07-03,F002,S001,1,22.0,Trial
T00350,2016-11-12,F002,S013,3,105.0,Trial
T00351,2016-06-27,F002,S024,2,12.0,Member
T00352,2016-11-10,F004,S021,2,17.0,Non-Member
T00353,2016-02-23,F004,S007,3,105.0,Trial
T00354,2016-08-06,F002,S009,3,72.0,Trial
T00355,2016-03-18,F002,S024,3,18.0,Trial
T00356,2016-09-26,F004,S011,3,84.0,Non-Member
T00357,2016-11-14,F002,S016,3,240.0,Trial
T00358,2016-10-10,F004,S022,1,4.5,Trial
T00359,2016-12-25,F001,S008,2,44.0,Non-Member
T00360,2016-03-04,F004,S020,2,40.0,Trial
T00361,2016-01-18,F004,S001,2,44.0,Trial
T00362,2016-10-13,F001,S016,1,80.0,Trial
T00363,2016-08-24,F002,S004,3,75.0,Member
T00364,2016-07-17,F002,S011,1,28.0,Trial
T00365,2016-12-23,F002,S012,2,56.0,Trial
T00366,2016-06-03,F004,S007,3,105.0,Trial
T00367,2016-01-08,F001,S010,3,78.0,
T00368,2016-07-03,F004,S001,1,22.0,Non-Member
T00369,2016-05-08,F002,S016,3,240.0,Member
T00370,2016-10-03,F004,S013,3,105.0,Non-Member
T00371,2016-07-04,F003,S005,3,90.0,Member
T00372,2016-06-17,F001,S020,1,20.0,Trial
T00373,2016-01-28,F001,S002,3,84.0,Member
T00374,2016-02-26,F001,S003,2,40.0,Trial
T00375,2016-02-07,F004,S003,3,60.0,Trial
T00376,2016-04-08,F003,S009,3,72.0,Member
T00377,2016-03-12,F001,S008,1,22.0,Member
T00378,2016-12-10,F002,S021,1,8.5,Trial
T00379,2016-12-06,F004,S019,1,1299.0,
T00380,2016-12-14,F004,S016,1,80.0,Non-Member
T00381,2016-12-11,F002,S003,1,20.0,Trial
T00382,2016-12-06,F003,S017,1,90.0,Trial
T00383,2016-12-12,F004,S021,1,8.5,Trial
T00384,2016-07-04,F003,S024,2,12.0,Member
T00385,2016-11-06,F002,S005,1,30.0,Non-Member
T00386,2016-03-12,F001,S014,1,75.0,Member
T00387,2016-09-26,F004,S010,1,26.0,Trial
T00388,2016-07-15,F001,S021,3,25.5,Non-Member
T00389,2016-01-15,F002,S007,2,70.0,Trial
T00390,2016-02-29,F004,S020,1,20.0,Trial
T00391,2016-09-16,F002,S011,3,84.0,Member
T00392,2016-07-30,F004,S014,2,150.0,Member
T00393,2016-05-04,F002,S008,3,66.0,Member
T00394,2016-12-31,F002,S022,1,4.5,Trial
T00395,2016-03-12,F002,S021,2,17.0,Trial
T00396,2016-02-22,F002,S013,3,105.0,Non-Member
T00397,2016-08-24,F003,S020,3,60.0,Trial
T00398,2016-03-25,F002,S011,1,28.0,Trial
T00399,2016-05-11,F003,S010,3,78.0,Trial
T00400,2016-05-07,F004,S025,3,135.0,Trial
T00401,2016-09-16,F001,S004,1,25.0,Trial
T00402,2016-04-23,F002,S002,2,56.0,Trial
T00403,2016-01-13,F001,S011,3,84.0,Trial
T00404,2016-09-02,F001,S011,2,56.0,Trial
T00405,2016-10-31,F001,S025,3,135.0,Trial
T00406,2016-12-23,F002,S025,2,90.0,Trial
T00407,2016-11-08,F001,S006,2,50.0,Member
T00408,2016-12-18,F002,S001,3,66.0,Trial
T00409,2016-07-18,F002,S015,1,45.0,
T00410,2016-07-30,F002,S024,2,12.0,Trial
T00411,2016-01-12,F002,S005,1,30.0,
T00412,2016-09-17,F003,S003,3,60.0,Member
T00413,2016-03-30,F003,S012,3,84.0,Trial
T00414,2016-08-27,F002,S024,2,12.0,Non-Member
T00415,2016-11-04,F003,S016,3,240.0,Trial
T00416,2016-06-26,F001,S019,1,1299.0,Non-Member
T00417,2016-05-10,F004,S009,3,72.0,Member
T00418,2016-02-07,F001,S016,3,240.0,Non-Member
T00419,2016-07-19,F004,S001,1,22.0,Trial
T00420,2016-03-16,F003,S013,3,,Trial
T00421,2016-08-08,F001,S004,1,25.0,Trial
T00422,2016-10-11,F003,S024,1,6.0,Non-Member
T00423,2016-04-16,F001,S001,3,66.0,Member
T00424,2016-07-04,F004,S008,1,22.0,Non-Member
T00425,2016-10-22,F002,S021,2,17.0,Non-Member
T00426,2016-09-18,F004,S008,1,22.0,Member
T00427,2016-01-21,F004,S022,3,13.5,Non-Member
T00428,2016-02-12,F002,S021,2,17.0,Non-Member
T00429,2016-08-06,F003,S025,2,90.0,
T00430,2016-03-17,F002,S001,2,44.0,Non-Member
T00431,2016-01-04,F001,S020,2,40.0,Member
T00432,2016-10-08,F003,S005,3,,Trial
T00433,2016-05-09,F001,S014,3,225.0,Non-Member
T00434,2016-09-07,F004,S025,1,45.0,Trial
T00435,2016-06-16,F001,S006,3,75.0,Trial
T00436,2016-06-29,F003,S003,3,60.0,Member
T00437,2016-01-10,F003,S003,1,20.0,Member
T00438,2016-11-12,F003,S023,3,74.97,Trial
T00439,2016-12-29,F002,S005,2,,Non-Member
T00440,2016-04-16,F001,S001,1,,Trial
T00441,2016-01-06,F004,S005,1,30.0,Non-Member
T00442,2016-06-13,F001,S005,3,90.0,Non-Member
T00443,2016-01-02,F002,S022,2,9.0,Non-Member
T00444,2016-11-23,F003,S007,2,70.0,Trial
T00445,2016-04-14,F001,S014,3,225.0,Non-Member
T00446,2016-10-13,F001,S020,1,20.0,Trial
T00447,2016-12-29,F004,S008,1,22.0,Trial
T00448,2016-08-06,F004,S018,1,,Trial
T00449,2016-12-12,F003,S001,1,22.0,Non-Member
T00450,2016-01-01,F003,S012,2,56.0,Trial
T00451,2016-02-02,F001,S013,1,35.0,Trial
T00452,2016-07-19,F003,S019,1,1299.0,Trial
T00453,2016-01-03,F001,S022,3,13.5,Trial
T00454,2016-05-28,F003,S018,1,129.0,Member
T00455,2016-02-21,F003,S024,3,,Member
T00456,2016-09-07,F004,S010,1,26.0,Trial
T00457,2016-12-20,F002,S017,1,90.0,Non-Member
T00458,2016-05-31,F001,S004,2,50.0,Member
T00459,2016-06-11,F001,S021,3,25.5,Trial
T00460,2016-11-11,F004,S004,3,75.0,Non-Member
T00461,2016-03-03,F003,S006,3,75.0,
T00462,2016-07-09,F002,S023,1,24.99,Non-Member
T00463,2016-03-09,F001,S011,3,84.0,Non-Member
T00464,2016-08-21,F004,S021,2,17.0,Non-Member
T00465,2016-06-28,F003,S024,1,6.0,Trial
T00466,2016-09-11,F004,S006,2,50.0,Non-Member
T00467,2016-11-01,F003,S002,1,28.0,Member
T00468,2016-02-29,F003,S025,1,45.0,Trial
T00469,2016-06-12,F004,S006,2,50.0,Trial
T00470,2016-12-26,F002,S013,1,35.0,Non-Member
T00471,2016-02-12,F004,S009,3,72.0,Member
T00472,2016-05-01,F001,S009,2,48.0,Member
T00473,2016-12-27,F004,S004,3,75.0,Trial
T00474,2016-02-04,F003,S005,1,30.0,Non-Member
T00475,2016-07-07,F003,S023,2,49.98,Trial
T00476,2016-11-01,F002,S002,2,56.0,Trial
T00477,2016-10-15,F004,S015,2,90.0,Trial
T00478,2016-09-10,F001,S004,3,75.0,Non-Member
T00479,2016-08-17,F002,S001,3,66.0,
T00480,2016-06-18,F004,S014,1,75.0,Trial
T00481,2016-05-08,F003,S025,3,135.0,Member
T00482,2016-02-14,F004,S001,3,66.0,Trial
T00483,2016-09-28,F004,S002,1,28.0,Trial
T00484,2016-12-03,F002,S006,1,25.0,Non-Member
T00485,2016-04-13,F004,S023,3,,Trial
T00486,2016-02-01,F001,S017,1,90.0,Trial
T00487,2016-08-22,F004,S022,3,13.5,Member
T00488,2016-03-07,F002,S001,3,,Trial
T00489,2016-05-23,F004,S004,3,75.0,Member
T00490,2016-05-06,F004,S019,1,1299.0,Non-Member
T00491,2016-08-26,F001,S021,2,17.0,Trial
T00492,2016-01-25,F002,S007,3,105.0,Trial
T00493,2016-10-03,F003,S005,3,90.0,Trial
T00494,2016-11-25,F004,S017,3,270.0,Member
T00495,2016-10-06,F003,S025,1,45.0,Trial
T00496,2016-07-21,F002,S002,3,84.0,Member
T00497,2016-11-26,F001,S016,1,,Trial
T00498,2016-10-27,F003,S020,3,60.0,Trial
T00499,2016-05-21,F003,S015,3,135.0,Trial
T00500,2016-06-07,F003,S004,1,25.0,Trial
T00501,2016-07-25,F002,S024,2,12.0,Non-Member
T00502,2016-07-16,F003,S010,3,78.0,Non-Member
T00503,2016-06-01,F004,S012,3,84.0,Member
T00504,2016-12-18,F004,S001,3,,Trial
T00505,2016-05-07,F003,S019,1,1299.0,Non-Member
T00506,2016-11-08,F003,S021,3,25.5,Member
T00507,2016-08-24,F004,S012,3,,Trial
T00508,2016-08-18,F002,S022,2,9.0,Trial
T00509,2016-08-01,F001,S013,2,70.0,Trial
T00510,2016-04-21,F003,S022,1,4.5,Trial
T00511,2016-12-21,F002,S002,2,56.0,Member
T00512,2016-12-17,F004,S015,2,90.0,Member
T00513,2016-12-17,F002,S011,3,84.0,Member
T00514,2016-11-24,F001,S016,3,240.0,Non-Member
T00515,2016-07-17,F002,S005,1,30.0,Non-Member
T00516,2016-12-30,F003,S010,1,26.0,
T00517,2016-04-06,F004,S019,1,1299.0,Trial
