TransactionID,Date,BranchID,ProductID,Quantity,Revenue,CustomerType
T00038,2015-12-15,B001,P001,1,18.99,Member
T00039,2015-10-30,B001,P029,1,18.99,Online
T00040,2015-10-10,B001,P009,4,83.96,
T00041,2015-12-09,B001,P024,5,69.95,Online
T00042,2015-11-01,B002,P026,4,63.96,Non-Member
T00043,2015-10-13,B001,P022,4,47.96,Online
T00044,2015-11-24,B002,P015,1,25.99,Member
T00045,2015-10-08,B002,P024,3,41.97,Member
T00046,2015-11-01,B001,P007,5,114.94999999999999,Online
T00047,2015-10-18,B002,P006,3,50.97,Online
T00048,2015-11-01,B001,P015,5,129.95,Member
T00049,2015-10-07,B001,P003,2,39.98,Non-Member
T00050,2015-11-22,B002,P016,2,41.98,Online
T00051,2015-10-08,B001,P013,1,18.99,Online
T00052,2015-11-03,B002,P010,4,87.96,Online
T00053,2015-10-20,B001,P010,2,,Member
T00054,2015-12-14,B001,P024,3,41.97,Member
T00055,2015-10-07,B002,P017,5,99.94999999999999,Non-Member
T00056,2015-10-08,B001,P028,2,17.98,Member
T00057,2015-12-16,B001,P022,2,23.98,Online
T00058,2015-10-16,B001,P019,5,74.95,Member
T00059,2015-12-19,B001,P014,5,124.94999999999999,Online
T00060,2015-11-03,B001,P022,3,35.97,
T00061,2015-11-03,B002,P005,3,80.97,Online
T00062,2015-11-10,B001,P001,4,75.96,Member
T00063,2015-10-10,B001,P017,3,59.97,Non-Member
T00064,2015-11-14,B001,P029,2,37.98,Online
T00065,2015-11-06,B001,P015,5,129.95,Online
T00066,2015-12-18,B001,P022,5,59.95,Online
T00067,2015-12-24,B001,P029,2,37.98,Online
T00068,2015-10-15,B001,P024,5,69.95,Non-Member
T00069,2015-11-04,B002,P020,2,25.98,Online
T00070,2015-10-27,B002,P017,4,79.96,Online
T00071,2015-10-07,B001,P021,4,55.96,Online
T00072,2015-10-06,B001,P011,2,47.98,Online
T00073,2015-10-21,B002,P018,4,359.96,Member
T00074,2015-10-15,B001,P029,2,37.98,Member
T00075,2015-11-17,B001,P014,2,49.98,Member
T00076,2015-11-09,B002,P029,1,18.99,Online
T00077,2015-10-27,B001,P022,1,11.99,
T00078,2015-12-11,B002,P020,2,25.98,Non-Member
T00079,2015-10-21,B001,P029,4,75.96,Member
T00080,2015-10-23,B002,P026,4,63.96,Non-Member
T00081,2015-11-04,B001,P026,1,,Online
T00082,2015-10-05,B002,P008,2,35.98,Online
T00083,2015-11-14,B002,P027,2,25.98,Non-Member
T00084,2015-10-04,B001,P013,3,56.97,Online
T00085,2015-10-09,B002,P012,5,99.94999999999999,Online
T00086,2015-12-26,B002,P001,1,,
T00087,2015-10-23,B002,P002,1,24.99,
T00088,2015-11-14,B002,P014,5,124.94999999999999,Member
T00089,2015-11-19,B001,P009,1,20.99,
T00090,2015-10-01,B001,P012,4,79.96,Member
T00091,2015-12-25,B002,P020,3,38.97,
T00092,2015-11-08,B002,P022,4,47.96,Online
T00093,2015-11-21,B002,P018,2,179.98,Non-Member
T00094,2015-11-23,B002,P022,2,,
T00095,2015-11-21,B001,P010,3,65.97,Non-Member
T00096,2015-11-25,B002,P015,4,103.96,Online
T00097,2015-12-26,B001,P017,4,79.96,Non-Member
T00098,2015-12-24,B001,P010,5,109.94999999999999,
T00099,2015-10-12,B001,P022,3,35.97,Non-Member
T00100,2015-10-26,B001,P001,1,18.99,Non-Member
T00101,2015-11-30,B001,P015,4,103.96,Non-Member
T00102,2015-12-31,B002,P016,4,83.96,Non-Member
T00103,2015-10-19,B001,P029,1,18.99,Online
T00104,2015-10-29,B001,P026,5,79.95,Online
T00105,2015-10-07,B001,P030,1,25.0,Online
T00106,2015-10-18,B002,P022,5,59.95,Online
T00107,2015-11-26,B002,P027,5,64.95,Online
T00108,2015-10-21,B002,P015,3,77.97,Non-Member
T00109,2015-12-21,B002,P025,5,399.95,Online
T00110,2015-12-20,B001,P009,4,83.96,Member
T00111,2015-12-31,B002,P008,3,53.97,Online
T00112,2015-11-10,B001,P005,2,53.98,Non-Member
T00113,2015-11-19,B001,P023,2,29.98,Member
T00114,2015-11-23,B002,P011,5,119.94999999999999,Online
T00115,2015-11-23,B001,P007,4,91.96,Online
T00116,2015-12-14,B001,P028,5,44.95,Online
T00117,2015-12-01,B001,P012,3,59.97,Online
T00118,2015-11-23,B001,P016,2,41.98,Online
T00119,2015-11-25,B002,P001,4,75.96,Online
T00120,2015-12-25,B002,P024,2,27.98,Online
T00121,2015-10-17,B001,P030,4,100.0,Member
T00122,2015-10-11,B002,P005,4,107.96,Non-Member
T00123,2015-10-07,B002,P013,3,56.97,Non-Member
T00124,2015-11-28,B002,P011,4,95.96,Online
T00125,2015-11-23,B002,P027,1,12.99,Online
T00126,2015-10-03,B001,P012,2,39.98,Member
T00127,2015-12-23,B001,P025,1,79.99,
T00128,2015-10-26,B001,P020,2,25.98,Non-Member
T00129,2015-10-17,B002,P022,1,11.99,Non-Member
T00130,2015-11-29,B002,P025,3,239.96999999999997,Non-Member
T00131,2015-12-17,B001,P025,2,159.98,Online
T00132,2015-10-14,B001,P030,3,75.0,Online
T00133,2015-11-20,B001,P003,5,99.94999999999999,Non-Member
T00134,2015-10-14,B002,P028,5,44.95,Member
T00135,2015-12-12,B001,P012,5,99.94999999999999,Online
T00136,2015-12-24,B002,P003,5,99.94999999999999,Online
T00137,2015-10-02,B002,P027,4,51.96,Member
T00138,2015-11-25,B002,P021,4,55.96,Non-Member
T00139,2015-11-25,B001,P024,5,69.95,Online
T00140,2015-12-18,B002,P015,4,103.96,Online
T00141,2015-11-11,B001,P027,1,12.99,Online
T00142,2015-11-27,B001,P025,4,319.96,Online
T00143,2015-11-13,B001,P016,3,62.97,Non-Member
T00144,2015-12-02,B001,P012,3,59.97,Online
T00145,2015-11-05,B002,P018,1,89.99,Non-Member
T00146,2015-10-11,B001,P024,4,55.96,Online
T00147,2015-12-11,B001,P023,4,59.96,Online
T00148,2015-11-27,B001,P003,3,59.97,Non-Member
T00149,2015-11-21,B001,P010,5,109.94999999999999,Online
T00150,2015-11-30,B002,P014,5,124.94999999999999,
T00151,2015-11-15,B002,P009,3,62.97,Online
T00152,2015-10-30,B001,P024,2,27.98,Online
T00153,2015-10-16,B001,P007,2,45.98,Online
T00154,2015-11-05,B002,P004,2,43.98,Online
T00155,2015-10-30,B002,P006,3,50.97,Member
T00156,2015-12-30,B001,P009,1,20.99,Member
T00157,2015-12-10,B002,P023,2,29.98,Online
T00158,2015-10-14,B001,P019,3,44.97,Online
T00159,2015-12-01,B002,P011,2,47.98,Member
T00160,2015-11-02,B002,P004,1,21.99,Online
T00161,2015-12-02,B001,P019,1,,Non-Member
T00162,2015-10-20,B002,P003,2,39.98,Member
T00163,2015-12-11,B002,P020,5,64.95,Non-Member
T00164,2015-12-06,B002,P015,4,103.96,Online
T00165,2015-12-15,B002,P010,5,109.94999999999999,Member
T00166,2015-12-18,B001,P025,2,159.98,Non-Member
T00167,2015-11-03,B001,P006,2,33.98,Non-Member
T00168,2015-12-10,B001,P006,1,16.99,
T00169,2015-11-27,B002,P010,1,21.99,Non-Member
T00170,2015-11-06,B002,P023,4,59.96,Member
T00171,2015-12-27,B001,P030,3,75.0,Non-Member
T00172,2015-11-24,B001,P018,2,179.98,Non-Member
T00173,2015-11-04,B001,P003,1,19.99,Non-Member
T00174,2015-11-09,B002,P015,1,25.99,Online
T00175,2015-12-28,B002,P023,4,59.96,Online
T00176,2015-12-04,B002,P015,1,25.99,Member
T00177,2015-11-25,B002,P020,3,38.97,Member
T00178,2015-10-12,B001,P022,5,59.95,Member
T00179,2015-12-26,B002,P019,1,14.99,Non-Member
T00180,2016-08-28,B005,P021,4,55.96,Online
T00181,2016-04-02,B005,P014,4,99.96,Member
T00182,2016-08-28,B003,P014,3,74.97,Online
T00183,2016-12-09,B001,P028,2,17.98,Online
T00184,2016-07-29,B006,P016,3,62.97,
T00185,2016-10-08,B001,P015,1,,Online
T00186,2016-05-09,B003,P004,4,87.96,Member
T00187,2016-12-02,B005,P015,4,103.96,Member
T00188,2016-04-06,B005,P012,5,99.94999999999999,Online
T00189,2016-11-16,B004,P025,1,79.99,Non-Member
T00190,2016-05-16,B005,P005,3,80.97,Online
T00191,2016-12-23,B004,P004,1,21.99,Non-Member
T00192,2016-12-29,B002,P010,5,109.94999999999999,Member
T00193,2016-10-09,B004,P003,2,39.98,Member
T00194,2016-08-24,B001,P021,2,27.98,Online
T00195,2016-05-29,B005,P023,3,44.97,Online
T00196,2016-09-04,B004,P008,4,71.96,Non-Member
T00197,2016-07-15,B002,P030,5,125.0,Non-Member
T00198,2016-02-05,B003,P025,4,319.96,Online
T00199,2016-09-16,B003,P027,1,12.99,Online
T00200,2016-06-01,B005,P019,4,59.96,Non-Member
T00201,2016-08-16,B005,P016,3,62.97,Online
T00202,2016-10-09,B005,P013,4,75.96,Online
T00203,2016-04-06,B006,P008,5,,Online
T00204,2016-04-29,B004,P002,3,74.97,Online
T00205,2016-12-27,B004,P013,2,37.98,Online
T00206,2016-01-19,B002,P017,5,99.94999999999999,
T00207,2016-02-21,B004,P004,5,109.94999999999999,
T00208,2016-01-08,B006,P005,4,107.96,Non-Member
T00209,2016-02-08,B004,P026,3,47.97,Online
T00210,2016-11-15,B006,P013,1,18.99,Online
T00211,2016-12-11,B005,P013,3,56.97,Online
T00212,2016-10-04,B001,P020,1,12.99,Non-Member
T00213,2016-11-19,B006,P030,3,75.0,
T00214,2016-02-16,B004,P004,1,21.99,Online
T00215,2016-03-26,B006,P010,1,21.99,Member
T00216,2016-06-15,B001,P010,3,65.97,Online
T00217,2016-08-08,B002,P008,5,89.94999999999999,Online
T00218,2016-10-16,B006,P026,2,31.98,Non-Member
T00219,2016-03-30,B001,P020,4,51.96,Non-Member
T00220,2016-09-11,B005,P005,2,53.98,
T00221,2016-11-22,B003,P015,3,77.97,Member
T00222,2016-08-26,B003,P022,5,59.95,Non-Member
T00223,2016-02-07,B004,P012,5,99.94999999999999,Online
T00224,2016-11-23,B004,P023,3,44.97,Online
T00225,2016-06-03,B002,P013,4,,Member
T00226,2016-05-01,B004,P019,3,,Online
T00227,2016-12-24,B003,P001,4,75.96,Online
T00228,2016-01-05,B005,P028,1,8.99,Online
T00229,2016-05-26,B002,P020,3,38.97,
T00230,2016-11-21,B002,P020,3,38.97,Non-Member
T00231,2016-11-17,B001,P029,1,18.99,Online
T00232,2016-08-13,B001,P019,3,44.97,Non-Member
T00233,2016-02-16,B003,P011,4,95.96,Non-Member
T00234,2016-04-12,B002,P026,5,79.95,Online
T00235,2016-09-28,B005,P030,3,75.0,Non-Member
T00236,2016-05-11,B004,P026,3,47.97,Online
T00237,2016-02-28,B004,P003,2,39.98,Non-Member
T00238,2016-12-12,B006,P022,4,47.96,Online
T00239,2016-02-16,B004,P001,3,56.97,Member
T00240,2016-08-20,B003,P022,3,35.97,Online
T00241,2016-11-22,B003,P004,2,43.98,Online
T00242,2016-01-13,B005,P029,5,94.94999999999999,Online
T00243,2016-11-08,B002,P021,1,13.99,Online
T00244,2016-12-24,B003,P021,4,55.96,Member
T00245,2016-03-12,B001,P002,3,,Online
T00246,2016-02-29,B001,P008,5,89.94999999999999,Non-Member
T00247,2016-07-17,B004,P012,5,99.94999999999999,Online
T00248,2016-10-27,B006,P024,2,27.98,Online
T00249,2016-12-01,B001,P027,4,51.96,Online
T00250,2016-05-23,B001,P023,3,44.97,Non-Member
T00251,2016-08-15,B004,P008,3,53.97,Member
T00252,2016-12-17,B003,P018,3,269.96999999999997,Member
T00253,2016-07-22,B003,P007,1,22.99,Online
T00254,2016-02-16,B006,P007,5,114.94999999999999,Member
T00255,2016-01-26,B003,P008,2,35.98,Non-Member
T00256,2016-02-05,B005,P007,5,114.94999999999999,Non-Member
T00257,2016-04-29,B003,P025,2,159.98,Member
T00258,2016-05-21,B002,P005,5,134.95,Online
T00259,2016-03-30,B001,P022,1,11.99,Non-Member
T00260,2016-01-08,B003,P026,2,31.98,Online
T00261,2016-01-09,B002,P009,1,20.99,Non-Member
T00262,2016-08-03,B005,P004,1,21.99,Online
T00263,2016-08-17,B003,P017,5,99.94999999999999,Member
T00264,2016-08-19,B005,P008,5,89.94999999999999,Member
T00265,2016-12-03,B005,P010,4,87.96,Member
T00266,2016-02-01,B004,P028,4,35.96,Online
T00267,2016-12-17,B001,P016,4,,Member
T00268,2016-02-11,B003,P020,2,25.98,
T00269,2016-03-05,B003,P020,5,64.95,Online
T00270,2016-07-14,B005,P017,3,59.97,Online
T00271,2016-09-15,B005,P014,1,,Member
T00272,2016-12-01,B006,P029,5,94.94999999999999,
T00273,2016-08-08,B004,P029,2,37.98,Online
T00274,2016-06-22,B004,P013,4,75.96,
T00275,2016-06-09,B004,P011,3,71.97,Online
T00276,2016-03-19,B006,P030,4,100.0,Member
T00277,2016-02-16,B001,P003,4,,Member
T00278,2016-07-09,B002,P018,1,89.99,Online
T00279,2016-12-09,B001,P014,3,74.97,Online
T00280,2016-01-27,B003,P020,3,38.97,Online
T00281,2016-02-23,B005,P017,2,,Non-Member
T00282,2016-12-02,B004,P008,1,17.99,Online
T00283,2016-10-11,B003,P004,3,65.97,Non-Member
T00284,2016-08-07,B005,P025,5,399.95,Member
T00285,2016-11-07,B006,P027,3,38.97,Member
T00286,2016-04-02,B003,P023,3,44.97,Online
T00287,2016-06-28,B001,P006,2,33.98,Online
T00288,2016-02-05,B002,P024,1,13.99,Member
T00289,2016-09-28,B002,P013,4,75.96,Online
T00290,2016-06-23,B002,P012,3,59.97,Online
T00291,2016-10-17,B005,P003,1,19.99,Non-Member
T00292,2016-03-21,B005,P002,1,24.99,Online
T00293,2016-08-14,B006,P014,4,99.96,Online
T00294,2016-07-31,B003,P007,5,114.94999999999999,Member
T00295,2016-06-25,B004,P004,3,65.97,Online
T00296,2016-09-26,B006,P010,1,21.99,Non-Member
T00297,2016-07-21,B005,P002,1,24.99,Non-Member
T00298,2016-06-03,B002,P025,2,159.98,Online
T00299,2016-05-28,B003,P004,1,21.99,Online
T00300,2016-08-08,B002,P005,4,107.96,Non-Member
T00301,2016-09-13,B005,P027,3,38.97,Member
T00302,2016-07-22,B006,P002,4,99.96,Member
T00303,2016-08-23,B001,P028,3,26.97,Online
T00304,2016-10-20,B004,P023,4,59.96,
T00305,2016-02-28,B004,P001,3,56.97,Non-Member
T00306,2016-11-12,B004,P027,3,38.97,Member
T00307,2016-08-11,B001,P008,4,71.96,Online
T00308,2016-09-25,B001,P013,3,56.97,Online
T00309,2016-04-23,B003,P025,2,159.98,Member
T00310,2016-09-18,B006,P004,5,109.94999999999999,Non-Member
T00311,2016-06-27,B003,P024,2,27.98,Non-Member
T00312,2016-02-22,B002,P009,2,41.98,Non-Member
T00313,2016-11-04,B002,P025,1,79.99,Non-Member
T00314,2016-11-17,B004,P015,5,129.95,Online
T00315,2016-12-14,B005,P021,5,69.95,Online
T00316,2016-11-17,B003,P005,4,107.96,Member
T00317,2016-08-28,B004,P021,3,41.97,Online
T00318,2016-10-29,B001,P012,5,99.94999999999999,Member
T00319,2016-06-07,B004,P015,1,25.99,Member
T00320,2016-07-07,B003,P003,1,19.99,Online
T00321,2016-08-24,B005,P018,1,89.99,Online
T00322,2016-10-19,B006,P007,3,68.97,Online
T00323,2016-09-13,B002,P002,4,99.96,Member
T00324,2016-06-24,B006,P003,5,99.94999999999999,Non-Member
T00325,2016-01-21,B002,P023,4,59.96,Online
T00326,2016-09-25,B005,P020,2,25.98,Online
T00327,2016-07-09,B003,P013,4,75.96,Online
T00328,2016-12-13,B005,P002,3,74.97,Member
T00329,2016-06-17,B001,P018,4,359.96,Online
T00330,2016-05-09,B006,P028,5,44.95,Non-Member
T00331,2016-06-19,B001,P019,2,29.98,Online
T00332,2016-06-07,B006,P023,4,59.96,Non-Member
T00333,2016-10-31,B006,P003,3,59.97,Online
T00334,2016-11-25,B003,P027,2,25.98,Member
T00335,2016-11-26,B006,P014,5,,Online
T00336,2016-01-10,B003,P010,2,43.98,Non-Member
T00337,2016-06-23,B004,P007,2,45.98,Non-Member
T00338,2016-03-20,B001,P010,1,21.99,Member
T00339,2016-12-04,B003,P029,5,94.94999999999999,Non-Member
T00340,2016-11-01,B004,P005,2,53.98,Non-Member
T00341,2016-12-20,B005,P026,2,31.98,Online
T00342,2016-01-23,B004,P012,2,39.98,Online
T00343,2016-11-08,B003,P025,4,319.96,
T00344,2016-09-30,B002,P010,4,87.96,Non-Member
T00345,2016-07-07,B006,P019,4,,Online
T00346,2016-05-24,B004,P017,5,99.94999999999999,Online
T00347,2016-03-23,B002,P026,5,79.95,Non-Member
T00348,2016-05-08,B001,P021,4,55.96,Online
T00349,2016-10-10,B001,P023,5,74.95,Member
T00350,2016-05-25,B001,P025,2,159.98,Online
T00351,2016-08-18,B005,P005,4,107.96,Member
T00352,2016-04-23,B004,P029,3,56.97,Member
T00353,2016-07-31,B001,P013,5,94.94999999999999,Online
T00354,2016-04-30,B004,P003,3,,Non-Member
T00355,2016-01-15,B003,P030,1,25.0,Online
T00356,2016-03-15,B002,P002,3,74.97,Online
T00357,2016-12-22,B002,P025,4,319.96,Online
T00358,2016-11-11,B001,P029,1,18.99,Member
T00359,2016-05-11,B002,P027,2,25.98,Online
T00360,2016-02-26,B003,P008,3,53.97,Member
T00361,2016-01-25,B002,P014,5,124.94999999999999,Online
T00362,2016-02-02,B001,P027,4,51.96,Member
T00363,2016-11-19,B005,P019,2,29.98,Non-Member
T00364,2016-05-29,B004,P001,5,94.94999999999999,Online
T00365,2016-05-03,B005,P014,2,49.98,Member
T00366,2016-09-25,B003,P003,5,,Member
T00367,2016-07-18,B004,P002,4,99.96,
T00368,2016-05-09,B006,P001,3,56.97,Member
T00369,2016-06-25,B002,P024,1,13.99,Online
T00370,2016-03-09,B001,P012,5,99.94999999999999,Online
T00371,2016-11-25,B002,P027,4,51.96,Online
T00372,2016-11-19,B002,P026,2,31.98,Member
T00373,2016-08-22,B001,P010,2,43.98,
T00374,2016-04-12,B001,P011,3,71.97,Online
T00375,2016-10-05,B004,P009,1,20.99,Non-Member
T00376,2016-05-26,B003,P028,1,8.99,Online
T00377,2016-05-19,B001,P026,3,47.97,Online
T00378,2016-07-23,B006,P015,4,103.96,Online
T00379,2016-04-05,B004,P023,4,59.96,
T00380,2016-09-22,B003,P026,1,15.99,Online
T00381,2016-02-10,B004,P020,2,25.98,Online
T00382,2016-06-13,B001,P003,3,59.97,Online
T00383,2016-06-05,B004,P020,4,51.96,Non-Member
T00384,2016-12-19,B004,P012,4,79.96,Member
T00385,2016-06-29,B005,P014,3,74.97,Member
T00386,2016-02-08,B006,P021,4,55.96,
T00387,2016-09-19,B006,P022,2,23.98,
T00388,2016-03-14,B005,P022,4,47.96,Member
T00389,2016-03-05,B001,P008,3,53.97,Online
T00390,2016-07-15,B005,P002,5,124.94999999999999,Non-Member
T00391,2016-12-13,B004,P012,3,59.97,Online
T00392,2016-02-09,B005,P005,5,134.95,Online
T00393,2016-07-22,B003,P021,3,41.97,Non-Member
T00394,2016-02-28,B001,P024,2,27.98,Online
T00395,2016-09-22,B004,P030,5,125.0,Member
T00396,2016-05-14,B003,P023,4,59.96,Non-Member
T00397,2016-11-09,B003,P023,4,59.96,Non-Member
T00398,2016-03-03,B002,P028,1,,Online
T00399,2016-03-29,B006,P015,1,25.99,Online
T00400,2016-12-07,B003,P023,1,14.99,Online
T00401,2016-06-02,B002,P023,2,29.98,Online
T00402,2016-09-17,B002,P004,2,43.98,Non-Member
T00403,2016-05-01,B004,P001,3,56.97,Online
T00404,2016-08-27,B005,P005,5,134.95,Member
T00405,2016-02-03,B003,P013,4,75.96,
T00406,2016-07-28,B005,P003,2,39.98,Online
T00407,2016-11-24,B001,P015,4,103.96,Online
T00408,2016-03-06,B005,P021,5,69.95,Non-Member
T00409,2016-03-07,B004,P017,1,19.99,Member
T00410,2016-09-22,B002,P010,2,43.98,Non-Member
T00411,2016-06-14,B006,P008,3,53.97,Online
T00412,2016-02-10,B003,P007,5,114.94999999999999,Online
T00413,2016-03-05,B006,P010,5,109.94999999999999,Member
T00414,2016-09-14,B006,P006,5,84.94999999999999,Non-Member
T00415,2016-03-28,B006,P020,5,64.95,Online
T00416,2016-10-15,B001,P027,1,12.99,Member
T00417,2016-01-24,B006,P025,5,399.95,Online
T00418,2016-11-29,B002,P025,5,399.95,Online
T00419,2016-11-12,B006,P001,4,75.96,Online
T00420,2016-11-24,B003,P016,2,,Online
T00421,2016-06-01,B004,P003,1,19.99,Non-Member
T00422,2016-08-13,B004,P016,4,,Non-Member
T00423,2016-06-23,B005,P005,3,80.97,
T00424,2016-06-25,B004,P005,3,80.97,Member
T00425,2016-06-12,B002,P015,1,25.99,Online
T00426,2016-08-18,B002,P005,1,,Member
T00427,2016-05-28,B004,P028,5,44.95,Online
T00428,2016-05-07,B002,P027,3,38.97,Online
T00429,2016-04-07,B002,P016,5,104.94999999999999,Online
T00430,2016-09-12,B003,P016,1,20.99,Member
T00431,2016-07-20,B005,P015,2,51.98,Non-Member
T00432,2016-10-25,B003,P002,1,24.99,Online
T00433,2016-09-10,B005,P029,4,75.96,Online
T00434,2016-10-01,B001,P028,1,8.99,Online
T00435,2016-03-09,B003,P024,3,41.97,
T00436,2016-07-06,B001,P013,1,18.99,Non-Member
T00437,2016-07-04,B005,P010,1,21.99,Online
T00438,2016-09-15,B004,P025,5,399.95,Online
T00439,2016-11-15,B006,P020,1,12.99,Non-Member
T00440,2016-02-19,B004,P012,3,59.97,Online
T00441,2016-03-14,B002,P020,5,64.95,Online
T00442,2016-09-13,B001,P002,1,24.99,Non-Member
T00443,2016-12-31,B003,P026,4,63.96,Online
T00444,2016-03-17,B005,P029,5,94.94999999999999,Non-Member
T00445,2016-06-16,B005,P011,2,47.98,Online
T00446,2016-11-11,B006,P027,3,38.97,Online
T00447,2016-09-16,B005,P018,4,359.96,Online
T00448,2016-08-31,B001,P012,3,59.97,Member
T00449,2016-08-01,B005,P010,1,21.99,Online
T00450,2016-05-15,B006,P026,5,79.95,Non-Member
T00451,2016-01-27,B005,P016,2,41.98,Online
T00452,2016-03-16,B006,P008,1,,Member
T00453,2016-04-07,B001,P015,3,77.97,Online
T00454,2016-03-18,B004,P023,2,29.98,Online
T00455,2016-09-13,B005,P030,4,100.0,Member
T00456,2016-12-27,B002,P017,2,39.98,Online
T00457,2016-12-05,B004,P017,4,79.96,Online
T00458,2016-03-29,B004,P030,5,125.0,Online
T00459,2016-10-06,B003,P022,3,35.97,Online
T00460,2016-04-08,B002,P009,5,104.94999999999999,Online
T00461,2016-04-25,B003,P025,3,239.96999999999997,Non-Member
T00462,2016-12-19,B006,P016,3,62.97,Online
T00463,2016-06-27,B005,P030,3,75.0,Online
T00464,2016-03-03,B005,P022,5,59.95,Online
T00465,2016-07-21,B003,P025,2,159.98,Online
T00466,2016-01-22,B003,P023,1,14.99,Online
T00467,2016-08-14,B006,P009,4,83.96,
T00468,2016-04-13,B005,P009,5,104.94999999999999,Online
T00469,2016-03-11,B001,P020,5,64.95,Non-Member
T00470,2016-05-04,B001,P022,5,59.95,Non-Member
T00471,2016-11-22,B002,P002,1,24.99,Online
T00472,2016-06-18,B006,P016,1,20.99,Non-Member
T00473,2016-01-03,B005,P030,2,50.0,Online
T00474,2016-11-30,B004,P016,2,41.98,
T00475,2016-06-13,B003,P021,1,13.99,
T00476,2016-11-29,B005,P008,5,89.94999999999999,Member
T00477,2016-03-30,B004,P029,2,37.98,Member
T00478,2016-07-22,B004,P006,3,50.97,Member
T00479,2016-01-05,B003,P019,5,74.95,Member
T00480,2016-06-20,B003,P015,5,129.95,Online
T00481,2016-03-09,B005,P015,3,77.97,Non-Member
T00482,2016-02-27,B003,P006,4,67.96,Online
T00483,2016-04-05,B001,P024,3,41.97,Online
T00484,2016-10-17,B006,P025,2,159.98,Non-Member
T00485,2016-11-08,B006,P029,4,75.96,Online
T00486,2016-09-20,B003,P003,4,79.96,Member
T00487,2016-04-04,B002,P016,3,62.97,Non-Member
T00488,2016-01-04,B003,P013,2,37.98,Online
T00489,2016-05-16,B003,P010,5,109.94999999999999,
T00490,2016-05-13,B006,P012,2,39.98,Member
T00491,2016-12-07,B001,P015,3,77.97,Non-Member
T00492,2016-07-26,B006,P017,3,59.97,Member
T00493,2016-11-23,B003,P012,5,99.94999999999999,Non-Member
T00494,2016-04-22,B002,P016,2,41.98,Online
T00495,2016-11-06,B003,P014,5,124.94999999999999,Online
T00496,2016-10-02,B006,P027,2,25.98,Non-Member
T00497,2016-12-14,B005,P028,1,8.99,
T00498,2016-09-27,B006,P012,1,19.99,Member
T00499,2016-02-01,B005,P029,5,94.94999999999999,Non-Member
T00500,2016-10-20,B005,P005,2,53.98,Online
T00501,2016-09-23,B004,P004,2,43.98,Online
T00502,2016-02-16,B005,P015,1,25.99,Online
T00503,2016-03-08,B005,P014,4,99.96,Member
T00504,2016-10-13,B004,P022,3,35.97,Member
T00505,2016-07-21,B003,P027,1,12.99,Non-Member
T00506,2016-10-23,B001,P002,4,99.96,Online
T00507,2016-12-24,B001,P018,1,89.99,Member
T00508,2016-08-29,B001,P010,4,87.96,Non-Member
T00509,2016-03-10,B006,P024,4,55.96,Online
T00510,2016-07-14,B004,P028,4,35.96,Online
T00511,2016-02-11,B006,P022,5,59.95,Non-Member
T00512,2016-11-30,B003,P004,2,43.98,Online
T00513,2016-09-27,B002,P024,2,27.98,
T00514,2016-01-12,B003,P015,5,129.95,Online
T00515,2016-09-29,B004,P027,2,25.98,Non-Member
T00516,2016-08-23,B003,P005,3,80.97,Non-Member
T00517,2016-02-27,B001,P026,4,63.96,Member
T00518,2016-05-03,B002,P003,1,19.99,Member
